INFO 2025-10-05 21:47:43,163 autoreload 24960 16548 Watching for file changes with StatReloader
INFO 2025-10-06 22:49:53,788 basehttp 15924 23712 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-10-06 22:49:53,789 basehttp 15924 23028 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-10-06 22:49:53,792 basehttp 15924 9752 "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2025-10-06 22:50:08,745 basehttp 15924 23712 "GET /admin/auth/group/add/ HTTP/1.1" 200 14005
INFO 2025-10-06 22:50:08,771 basehttp 15924 23712 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-10-06 22:50:21,856 basehttp 15924 23712 "POST /admin/auth/group/add/ HTTP/1.1" 302 0
INFO 2025-10-06 22:50:21,900 basehttp 15924 23712 "GET /admin/auth/group/1/change/ HTTP/1.1" 200 14489
INFO 2025-10-06 22:50:21,943 basehttp 15924 23712 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-10-06 22:50:21,990 basehttp 15924 23712 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-10-06 22:50:30,791 basehttp 15924 23712 "POST /admin/auth/group/1/change/ HTTP/1.1" 302 0
INFO 2025-10-06 22:50:30,922 basehttp 15924 23712 "GET /admin/auth/group/ HTTP/1.1" 200 10584
INFO 2025-10-06 22:50:30,955 basehttp 15924 23712 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,955 basehttp 15924 9084 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,955 basehttp 15924 9752 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,956 basehttp 15924 23028 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,957 basehttp 15924 23508 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,965 basehttp 15924 9084 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,966 basehttp 15924 9752 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,966 basehttp 15924 23508 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,966 basehttp 15924 23028 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,969 basehttp 15924 9084 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,970 basehttp 15924 23712 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-10-06 22:50:30,971 basehttp 15924 9752 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,973 basehttp 15924 23508 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,974 basehttp 15924 21408 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
INFO 2025-10-06 22:50:30,980 basehttp 15924 23028 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-10-06 22:50:30,983 basehttp 15924 23712 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-10-06 22:50:31,002 basehttp 15924 23712 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-10-06 22:50:31,005 basehttp 15924 9084 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-10-06 22:50:31,012 basehttp 15924 23712 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-10-06 22:50:31,028 basehttp 15924 9084 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
